,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
87,/datc/ortho/Cat1_pat27_meting10_oef5.csv,0,6,94,2018-12-10 10:56:29.502628,Kasper
88,/datc/ortho/Cat1_pat13_meting10_oef5.csv,0,16,99,2018-12-10 10:56:47.701016,Kasper
89,/datc/ortho/Cat1_pat12_meting10_oef5.csv,0,1,71,2018-12-10 11:01:57.216327,Kasper
90,/datc/ortho/Cat1_pat5_meting10_oef5.csv,0,11,145,2018-12-10 11:02:28.104109,Kasper
91,/datc/ortho/Cat1_pat23_meting10_oef5.csv,0,1,121,2018-12-10 11:02:54.742079,Kasper
92,/datc/ortho/Cat1_pat4_meting10_oef5.csv,0,18,148,2018-12-10 11:03:36.072499,Kasper
93,/datc/ortho/Cat1_pat22_meting10_oef5.csv,0,8,113,2018-12-10 11:04:48.129301,Kasper
94,/datc/ortho/Cat1_pat1_meting10_oef5.csv,0,6,80,2018-12-10 11:05:04.661638,Kasper
95,/datc/ortho/Cat1_pat7_meting10_oef5.csv,0,13,173,2018-12-10 11:05:40.590613,Kasper
1,/datc/ortho/Cat2_pat33_meting20_oef2.csv,0,5,167,2018-12-10 09:58:30.742348,Rogier
2,/datc/ortho/Cat2_pat15_meting20_oef2.csv,0,7,105,2018-12-10 09:59:00.170363,Rogier
3,/datc/ortho/Cat2_pat1_meting20_oef2.csv,0,0,37,2018-12-10 09:59:39.797951,Rogier
4,/datc/ortho/Cat2_pat36_meting10_oef2.csv,0,15,173,2018-12-10 10:00:04.828319,Rogier
5,/datc/ortho/Cat2_pat2_meting20_oef2.csv,0,0,76,2018-12-10 10:00:34.654237,Rogier
6,/datc/ortho/Cat2_pat26_meting10_oef2.csv,80,15,130,2018-12-10 10:01:14.944638,Rogier
7,/datc/ortho/Cat2_pat11_meting10_oef2.csv,0,7,97,2018-12-10 10:04:59.362530,Rogier
8,/datc/ortho/Cat2_pat32_meting10_oef2.csv,80,5,145,2018-12-10 10:05:30.214393,Rogier
9,/datc/ortho/Cat2_pat30_meting20_oef2.csv,0,11,166,2018-12-10 10:06:12.192777,Rogier
10,/datc/ortho/Cat2_pat9_meting20_oef2.csv,0,25,150,2018-12-10 10:06:50.490171,Rogier
